food_id,food_name_vi,status,unit_type,serving_size,serving_weight_g,calories_per_serving_selected,calories_per_100g,calories_min_final,calories_max_final,confidence,source_used,note,source_cell,dataset_version,created_at
oc,Ốc,ok,per_100g,100g ốc luộc/hấp (đã lấy thịt),100,90,90,70,120,low-medium,internal_estimate,"Ốc luộc hấp sả; món chấm mắm gừng chưa tính riêng. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
ot_chuong,Ớt chuông,ok,per_100g,100g ớt chuông tươi,100,31,31,25,40,low-medium,internal_estimate,"Ớt chuông sống, thường dùng trong salad/xào. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
pho_mai,Phô mai,ok,per_100g,100g phô mai,100,350,350,300,400,low-medium,internal_estimate,"Giá trị trung bình cho phô mai chế biến/phô mai cứng. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
rau,Rau,ok,per_100g,100g rau ăn kèm,100,25,25,15,35,low-medium,internal_estimate,"Rau sống/rau luộc tổng quát, ít calo. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
salad,Salad,ok,per_serving,1 đĩa/1 phần,200,150,missing,100,300,low-medium,internal_estimate,"Salad rau trộn; calo tăng mạnh nếu dùng nhiều sốt béo. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
thit_bo,Thịt bò,ok,per_100g,100g thịt bò đã chế biến,100,250,250,200,280,low-medium,internal_estimate,"Thịt bò xào/nướng/luộc, giá trị trung bình theo phần thịt. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
thit_ga,Thịt gà,ok,per_100g,100g thịt gà đã chế biến,100,165,165,150,240,low-medium,internal_estimate,"Giá trị trung bình; phần có da/chiên cao hơn ức gà không da. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
thit_heo,Thịt heo,ok,per_100g,100g thịt heo đã chế biến,100,260,260,180,350,low-medium,internal_estimate,"Thịt heo ba chỉ/nạc vai đã chế biến, dao động theo độ béo. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
thit_kho,Thịt kho,ok,per_serving,1 phần (khoảng 150g),150,320,missing,280,400,low-medium,internal_estimate,"Thịt kho tàu/thịt kho tiêu, chưa tính cơm ăn kèm. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
thit_nuong,Thịt nướng,ok,per_serving,1 phần (khoảng 150g),150,300,missing,250,380,low-medium,internal_estimate,"Thịt heo/bò nướng, chưa tính bún/cơm hay nước chấm ăn kèm. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
tom,Tôm,ok,per_100g,100g tôm đã chế biến,100,99,99,85,120,low-medium,internal_estimate,"Tôm luộc/hấp; tôm chiên/rang muối có thể cao hơn. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
trung,Trứng,ok,per_serving,1 quả (luộc hoặc chiên),50,80,missing,70,100,low-medium,internal_estimate,"Trứng luộc khoảng 70-78 kcal/quả, trứng chiên dầu cao hơn. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
banh_beo,Bánh bèo,ok,per_serving,10 cái / 1 phần,150,220,missing,150,300,low-medium,internal_estimate,"Bánh bèo chén nhân tôm cháy, khẩu phần 10 cái. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
cao_lau,Cao lầu,ok,per_serving,1 tô,350,400,missing,350,500,low-medium,internal_estimate,"Đặc sản Hội An, mì cao lầu kèm thịt xá xíu và rau sống. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
bun_cha_ca,Bún chả cá,ok,per_serving,1 tô,350,380,missing,320,450,low-medium,internal_estimate,"Bún nước dùng cá, chả cá chiên/hấp. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
com_chien_ga,Cơm chiên gà,ok,per_serving,1 đĩa / 1 phần,350,550,missing,450,650,low-medium,internal_estimate,"Cơm chiên với thịt gà, trứng và rau củ. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
nom_hoa_chuoi,Nộm hoa chuối,ok,per_serving,1 phần / 1 đĩa,200,150,missing,100,220,low-medium,internal_estimate,"Gỏi/nộm hoa chuối trộn chua ngọt, ít calo. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
nui_xao_bo,Nui xào bò,ok,per_serving,1 đĩa / 1 phần,300,450,missing,380,550,low-medium,internal_estimate,"Nui xào cùng thịt bò và rau củ. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
sup_cua,Súp cua,ok,per_serving,1 chén,250,120,missing,90,160,low-medium,internal_estimate,"Súp cua trứng bắc thảo, món nước nhẹ. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
